suburb,region,median_house,median_unit,rental_yield_house,rental_yield_unit,weekly_rent_house,weekly_rent_unit,growth_rate,source_month_prices,source_month_rents,source_growth_sa3,notes
Chatswood,north,3119000,1153500,0.0244,0.0411,1466,911,0.04,Domain May 2026,SQM week ending 12 Jan 2026,Chatswood-Lane Cove proxy,"# REVIEW: Domain 3-bed house/2-bed unit medians; SA3 May 2026 public value unavailable, used conservative Cotality Sydney Apr 2026 proxy. https://www.domain.com.au/suburb-profile/chatswood-nsw-2067 | https://sqmresearch.com.au/weekly-rents.php?postcode=2067&t=1"
Mosman,north,3775000,1372500,0.0449,0.0379,3263,1001,0.03,Domain May 2026,SQM week ending 04 Mar 2026,North Sydney-Mosman proxy,"# REVIEW: Domain 3-bed house/2-bed unit medians; SA3 May 2026 public value unavailable, used conservative premium-market proxy. https://www.domain.com.au/suburb-profile/mosman-nsw-2088 | https://sqmresearch.com.au/property/weekly-rents?postcode=2088"
Manly,north,6000000,1907500,0.0221,0.0352,2546,1291,0.03,Domain May 2026,SQM week ending 28 Mar 2026,Manly proxy,"# REVIEW: Domain 3-bed house/2-bed unit medians; SA3 May 2026 public value unavailable, used conservative premium-market proxy. https://www.domain.com.au/suburb-profile/manly-nsw-2095 | https://sqmresearch.com.au/property/weekly-rents?postcode=2095&t=1"
Hornsby,north,1579000,725000,0.0295,0.0493,897,688,0.048,Domain May 2026,SQM week ending 20 Feb 2026,Hornsby proxy,"# REVIEW: Domain 3-bed house/2-bed unit medians; SA3 May 2026 public value unavailable, used Cotality Sydney Apr 2026 annual proxy. https://www.domain.com.au/suburb-profile/hornsby-nsw-2077 | https://sqmresearch.com.au/property/weekly-rents?postcode=2077"
Epping,north,2200000,805000,0.0271,0.0521,1145,806,0.048,Domain May 2026,SQM week ending 20 Mar 2026,Pennant Hills-Epping proxy,"# REVIEW: unit yield exceeds sanity band; Domain 3-bed house/2-bed unit medians; SA3 May 2026 public value unavailable, used Cotality Sydney Apr 2026 annual proxy. https://www.domain.com.au/suburb-profile/epping-nsw-2121 | https://sqmresearch.com.au/weekly-rents.php?postcode=2121&t=1"
Parramatta,west,1250000,635000,0.0327,0.0565,787,690,0.141,May-2026,week-ending-2026-03-04,Mar-2026,# REVIEW: Domain 3-bed house/2-bed unit medians; unit yield > sanity band; growth uses Cotality Apr-2026 SA3 Merrylands-Guildford proxy 14.1%; https://www.domain.com.au/suburb-profile/parramatta-nsw-2150; https://sqmresearch.com.au/property/weekly-rents?postcode=2150; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Blacktown,west,1036500,448500,0.0335,0.0682,668,588,0.13,May-2026,week-ending-2026-02-20,Mar-2026,# REVIEW: Domain 3-bed house/2-bed unit medians; unit yield > sanity band; growth uses Cotality Apr-2026 Mount Druitt/Blacktown SA4 proxy 13.0%; https://www.domain.com.au/suburb-profile/blacktown-nsw-2148; https://sqmresearch.com.au/weekly-rents.php?postcode=2148&t=1; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Penrith,west,970000,620000,0.0343,0.0481,640,574,0.127,May-2026,week-ending-2026-03-04,Mar-2026,# REVIEW: Domain 3-bed house/2-bed unit medians; growth > sanity band using Cotality Apr-2026 Penrith SA3 12.7%; https://www.domain.com.au/suburb-profile/penrith-nsw-2750; https://sqmresearch.com.au/property/weekly-rents?postcode=2750; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Auburn,west,1230500,547500,0.0325,0.0658,768,693,0.141,May-2026,week-ending-2026-03-12,Mar-2026,# REVIEW: Domain 3-bed house/2-bed unit medians; unit yield > sanity band; growth uses Cotality Apr-2026 Merrylands-Guildford proxy 14.1%; https://www.domain.com.au/suburb-profile/auburn-nsw-2144; https://sqmresearch.com.au/property/weekly-rents?postcode=2144; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Westmead,west,1297500,585000,0.0308,0.0578,768,650,0.141,May-2026,week-ending-2026-02-28,Mar-2026,# REVIEW: Domain 3-bed house/2-bed unit medians; unit yield > sanity band; growth uses Cotality Apr-2026 Merrylands-Guildford proxy 14.1%; https://www.domain.com.au/suburb-profile/westmead-nsw-2145; https://sqmresearch.com.au/property/weekly-rents?postcode=2145&t=1; https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Hurstville,south,1755000,760888,0.0262,0.0521,883,763,0.048,Domain last-12m May 2026,SQM week ending 12 Mar 2026,Sydney proxy Mar 2026,# REVIEW: unit yield >0.050 and SA3 growth not public; prices use Domain 3-bed house and 2-bed unit medians; rents use SQM postcode 2220 All Houses/All Units; growth uses Cotality Sydney annual proxy; https://www.domain.com.au/suburb-profile/hurstville-nsw-2220 | https://sqmresearch.com.au/property/weekly-rents?postcode=2220&t=1 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Sutherland,south,1300000,823000,0.0442,0.042,1105,664,0.048,Domain last-12m May 2026,SQM week ending 12 Feb 2026,Sydney proxy Mar 2026,# REVIEW: SA3 growth not public and rent source not May; prices use Domain 3-bed house and 2-bed unit medians; rents use SQM postcode 2232 All Houses/All Units; growth uses Cotality Sydney annual proxy; https://www.domain.com.au/suburb-profile/sutherland-nsw-2232 | https://sqmresearch.com.au/property/weekly-rents?postcode=2232 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Cronulla,south,2562500,1143000,0.0387,0.0337,1907,740,0.048,Domain last-12m May 2026,SQM week ending 20 Feb 2026,Sydney proxy Mar 2026,# REVIEW: SA3 growth not public and rent source not May; prices use Domain 3-bed house and 2-bed unit medians; rents use SQM postcode 2230 All Houses/All Units; growth uses Cotality Sydney annual proxy; https://www.domain.com.au/suburb-profile/cronulla-nsw-2230 | https://sqmresearch.com.au/property/weekly-rents?postcode=2230&t=1 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Kogarah,south,1830000,750000,0.0269,0.0486,948,701,0.048,Domain last-12m May 2026,SQM week ending 12 Mar 2026,Sydney proxy Mar 2026,# REVIEW: SA3 growth not public; prices use Domain 3-bed house and 2-bed unit medians; rents use SQM postcode 2217 All Houses/All Units; growth uses Cotality Sydney annual proxy; https://www.domain.com.au/suburb-profile/kogarah-nsw-2217 | https://sqmresearch.com.au/property/weekly-rents?postcode=2217 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Miranda,south,1656000,850000,0.0335,0.0431,1067,705,0.048,Domain last-12m May 2026,SQM week ending 12 Mar 2026,Sydney proxy Mar 2026,# REVIEW: SA3 growth not public; prices use Domain 3-bed house and 2-bed unit medians; rents use SQM postcode 2228 All Houses/All Units; growth uses Cotality Sydney annual proxy; https://www.domain.com.au/suburb-profile/miranda-nsw-2228 | https://sqmresearch.com.au/property/weekly-rents?postcode=2228&t=1 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
,,,,,,,,,,,,
suburb,region,median_house,median_unit,rental_yield_house,rental_yield_unit,weekly_rent_house,weekly_rent_unit,growth_rate,source_month_prices,source_month_rents,source_growth_sa3,notes
Marrickville,inner-west,2150000,1080000,0.0245,0.0352,1011,732,0.048,Domain last-12mo May-2026,SQM week ending 04 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2204 All Houses/All Units; https://www.domain.com.au/suburb-profile/marrickville-nsw-2204 | https://sqmresearch.com.au/property/weekly-rents?postcode=2204 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Leichhardt,inner-west,2210000,990000,0.0226,0.037,961,705,0.048,Domain last-12mo May-2026,SQM week ending 12 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2040 All Houses/All Units; https://www.domain.com.au/suburb-profile/leichhardt-nsw-2040 | https://sqmresearch.com.au/property/weekly-rents?postcode=2040 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Ashfield,inner-west,2088000,912250,0.0279,0.0398,1122,699,0.048,Domain last-12mo May-2026,SQM week ending 04 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2131 All Houses/All Units; https://www.domain.com.au/suburb-profile/ashfield-nsw-2131 | https://sqmresearch.com.au/property/weekly-rents?postcode=2131 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Burwood,inner-west,2488000,938000,0.0238,0.0516,1137,931,0.048,Domain last-12mo May-2026,SQM week ending 20 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: unit yield exceeds 5% sanity band; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2134 All Houses/All Units; https://www.domain.com.au/suburb-profile/burwood-nsw-2134 | https://sqmresearch.com.au/property/weekly-rents?postcode=2134 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Strathfield,inner-west,3175000,775000,0.0207,0.0495,1266,737,0.048,Domain last-12mo May-2026,SQM week ending 28 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2135 All Houses/All Units; https://www.domain.com.au/suburb-profile/strathfield-nsw-2135 | https://sqmresearch.com.au/weekly-rents.php?postcode=2135&t=1 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Newtown,inner,2121500,1210000,0.0306,0.0294,1249,685,0.048,Domain last-12mo May-2026,SQM week ending 28 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2042 All Houses/All Units; https://www.domain.com.au/suburb-profile/newtown-nsw-2042 | https://sqmresearch.com.au/property/weekly-rents?postcode=2042 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Alexandria,inner,2330000,1130000,0.0333,0.0413,1494,897,0.048,Domain last-12mo May-2026,SQM week ending 04 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2015 All Houses/All Units; https://www.domain.com.au/suburb-profile/alexandria-nsw-2015 | https://sqmresearch.com.au/property/weekly-rents?postcode=2015 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Waterloo,inner,,1030000,,0.0586,1101,1160,0.048,Domain last-12mo May-2026,SQM week ending 20 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: Domain suppresses house medians due low house sales so house price and house yield are blank; unit yield exceeds 5% sanity band; growth is Sydney proxy not SA3; unit price is Domain 2br median; rents use SQM postcode 2017 All Houses/All Units; https://www.domain.com.au/suburb-profile/waterloo-nsw-2017 | https://sqmresearch.com.au/property/weekly-rents?postcode=2017 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Darlinghurst,inner,3037500,1500000,0.0239,0.0275,1398,793,0.048,Domain last-12mo May-2026,SQM week ending 28 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2010 All Houses/All Units; https://www.domain.com.au/suburb-profile/darlinghurst-nsw-2010 | https://sqmresearch.com.au/property/weekly-rents?postcode=2010 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Camperdown,inner,2225000,1250000,0.0359,0.0474,1536,1140,0.048,Domain last-12mo May-2026,SQM week ending 04 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2050 All Houses/All Units; https://www.domain.com.au/suburb-profile/camperdown-nsw-2050 | https://sqmresearch.com.au/property/weekly-rents?postcode=2050 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Paddington,east,3700000,1420000,0.0236,0.0274,1680,747,0.048,Domain last-12mo May-2026,SQM week ending 12 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: rent source is older public SQM snapshot; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2021 All Houses/All Units; https://www.domain.com.au/suburb-profile/paddington-nsw-2021 | https://sqmresearch.com.au/property/weekly-rents?postcode=2021 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Waverley,east,4405000,1515000,0.0343,0.0372,2903,1083,0.048,Domain last-12mo May-2026,SQM week ending 12 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: Domain suppresses 3br house median so 4br house median used; growth is Sydney proxy not SA3; unit price is Domain 2br median; rents use SQM postcode 2024 All Houses/All Units; https://www.domain.com.au/suburb-profile/waverley-nsw-2024 | https://sqmresearch.com.au/property/weekly-rents?postcode=2024 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Kensington,east,2395000,1078000,0.0281,0.0425,1295,881,0.048,Domain last-12mo May-2026,SQM week ending 20 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: rent source is older public SQM snapshot; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2033 All Houses/All Units; https://www.domain.com.au/suburb-profile/kensington-nsw-2033 | https://sqmresearch.com.au/property/weekly-rents?postcode=2033 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Kingsford,east,2650000,995000,0.0224,0.0478,1139,915,0.048,Domain last-12mo May-2026,SQM week ending 20 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: rent source is older public SQM snapshot; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2032 All Houses/All Units; https://www.domain.com.au/suburb-profile/kingsford-nsw-2032 | https://sqmresearch.com.au/property/weekly-rents?postcode=2032 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Rose Bay,east,3850000,1462500,0.0621,0.045,4599,1267,0.048,Domain last-12mo May-2026,SQM week ending 20 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: house yield exceeds 5% sanity band and SQM all-house rent appears high for postcode mix; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2029 All Houses/All Units; https://www.domain.com.au/suburb-profile/rose-bay-nsw-2029 | https://sqmresearch.com.au/property/weekly-rents?postcode=2029 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Neutral Bay,north,2550000,1320000,0.0407,0.0319,1998,811,0.048,Domain last-12mo May-2026,SQM week ending 20 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: rent source is older public SQM snapshot; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2089 All Houses/All Units; https://www.domain.com.au/suburb-profile/neutral-bay-nsw-2089 | https://sqmresearch.com.au/property/weekly-rents?postcode=2089 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Lane Cove,north,2825500,960000,0.0275,0.042,1492,776,0.048,Domain last-12mo May-2026,SQM week ending 20 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2066 All Houses/All Units; https://www.domain.com.au/suburb-profile/lane-cove-nsw-2066 | https://sqmresearch.com.au/property/weekly-rents?postcode=2066 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
St Leonards,north,,1345000,,0.038,1394,983,0.048,Domain last-12mo May-2026,SQM week ending 20 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: Domain suppresses house medians due very low house sales so house price and house yield are blank; growth is Sydney proxy not SA3; unit price is Domain 2br median; rents use SQM postcode 2065 All Houses/All Units; https://www.domain.com.au/suburb-profile/st-leonards-nsw-2065 | https://sqmresearch.com.au/property/weekly-rents?postcode=2065 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Gordon,north,2100000,924500,0.0338,0.0463,1365,823,0.048,Domain last-12mo May-2026,SQM week ending 12 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2072 All Houses/All Units; https://www.domain.com.au/suburb-profile/gordon-nsw-2072 | https://sqmresearch.com.au/property/weekly-rents?postcode=2072 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Ryde,north,2300000,780000,0.0266,0.0499,1175,749,0.048,Domain last-12mo May-2026,SQM week ending 20 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: rent source is older public SQM snapshot; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2112 All Houses/All Units; https://www.domain.com.au/suburb-profile/ryde-nsw-2112 | https://sqmresearch.com.au/weekly-rents.php?postcode=2112&t=1 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Castle Hill,west,1673000,940000,0.0303,0.0441,975,798,0.048,Domain last-12mo May-2026,SQM week ending 28 Jan 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: rent source is older public SQM snapshot; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2154 All Houses/All Units; https://www.domain.com.au/suburb-profile/castle-hill-nsw-2154 | https://sqmresearch.com.au/weekly-rents.php?postcode=2154&t=1 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Baulkham Hills,west,1660000,705000,0.0272,0.0581,869,788,0.048,Domain last-12mo May-2026,SQM week ending 20 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: unit yield exceeds 5% sanity band; rent source is older public SQM snapshot; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2153 All Houses/All Units; https://www.domain.com.au/suburb-profile/baulkham-hills-nsw-2153 | https://sqmresearch.com.au/property/weekly-rents?postcode=2153 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Lidcombe,west,1655000,775000,0.0249,0.0531,793,791,0.048,Domain last-12mo May-2026,SQM week ending 28 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: unit yield exceeds 5% sanity band; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2141 All Houses/All Units; https://www.domain.com.au/suburb-profile/lidcombe-nsw-2141 | https://sqmresearch.com.au/property/weekly-rents?postcode=2141 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Granville,west,1075000,500000,0.0372,0.0635,770,611,0.048,Domain last-12mo May-2026,SQM week ending 12 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: unit yield exceeds 5% sanity band; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2142 All Houses/All Units; https://www.domain.com.au/suburb-profile/granville-nsw-2142 | https://sqmresearch.com.au/weekly-rents.php?postcode=2142&t=1 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Mount Druitt,west,861250,422500,0.0331,0.0623,549,506,0.048,Domain last-12mo May-2026,SQM week ending 28 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: unit yield exceeds 5% sanity band; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2770 All Houses/All Units; https://www.domain.com.au/suburb-profile/mount-druitt-nsw-2770 | https://sqmresearch.com.au/property/weekly-rents?postcode=2770 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Bankstown,south,1321000,595000,0.0333,0.0527,846,603,0.048,Domain last-12mo May-2026,SQM week ending 12 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: unit yield exceeds 5% sanity band; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2200 All Houses/All Units; https://www.domain.com.au/suburb-profile/bankstown-nsw-2200 | https://sqmresearch.com.au/property/weekly-rents?postcode=2200 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Campsie,south,1700000,685000,0.0287,0.0455,937,600,0.048,Domain last-12mo May-2026,SQM week ending 20 Feb 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: rent source is older public SQM snapshot; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2194 All Houses/All Units; https://www.domain.com.au/suburb-profile/campsie-nsw-2194 | https://sqmresearch.com.au/property/weekly-rents?postcode=2194 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
Rockdale,south,1667000,735000,0.0314,0.0545,1008,771,0.048,Domain last-12mo May-2026,SQM week ending 20 Mar 2026,Cotality HVI Apr-2026 Sydney annual proxy,# REVIEW: unit yield exceeds 5% sanity band; growth is Sydney proxy not SA3; prices are Domain 3br house and 2br unit medians; rents use SQM postcode 2216 All Houses/All Units; https://www.domain.com.au/suburb-profile/rockdale-nsw-2216 | https://sqmresearch.com.au/property/weekly-rents?postcode=2216 | https://discover.cotality.com/hubfs/Article-Reports/COTALITY%20HVI%20APR%202026%20FINAL.pdf
